Body,Head,Head Coverage,Std_Confidence,Pca Confidence,Support,Body Size,Pca Body Size,Functional_variable,PCA_valid,PCA_invalid,PCA_valid_proportion,PCA_invalid_proportion,Support_valid,Support_invalid,PCABody_valid,PCABody_invalid
?a  patientDrug  Carboplatin  ?a  patientDrug  Vinorelbine   ,?a  hasAgeCategory  Old,0.172414,0.833333,0.833333,55,66,66,?a,1,0.75,0.4,0.6,22,33,22,44
?a  hasSmokingHabit  CurrentSmoker  ?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasAgeCategory  Old,0.137931,0.666667,0.666667,44,66,66,?a,1,0.5,0.5,0.5,22,22,22,44
?a  patientDrug  Durvalumab  ?a  patientDrug  Vinorelbine   ,?a  hasAgeCategory  Old,0.068966,1,1,22,22,22,?a,1,1,0.5,0.5,11,11,11,11
?a  patientDrug  Other  ?a  patientDrug  Pembrolizumab   ,?a  hasAgeCategory  Old,0.034483,0.5,0.5,11,22,22,?a,0.5,0,1,0,11,0,22,0
?a  hasRelapse_Progression  No_Progression  ?a  patientDrug  Vinorelbine   ,?a  hasAgeCategory  Old,0.068966,1,1,22,22,22,?a,1,1,0.5,0.5,11,11,11,11
?a  hasStage  IIIC  ?a  patientDrug  Vinorelbine   ,?a  hasAgeCategory  Old,0.034483,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  hasStage  IIA  ?a  patientDrug  Pembrolizumab   ,?a  hasAgeCategory  Old,0.034483,1,1,11,11,11,?a,1,0,1,0,11,0,11,0
?a  patientDrug  Vinorelbine  ?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasAgeCategory  Old,0.068966,0.666667,0.666667,22,33,33,?a,1,0.5,0.5,0.5,11,11,11,22
?a  hasBiomarker  ALK_Negative  ?a  treatmentType  Immunotherapy   ,?a  hasAgeCategory  Old,0.344828,0.588235,0.588235,110,187,187,?a,0.5,0.714285714,0.5,0.5,55,55,110,77
?a  hasBiomarker  ALK_Negative  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  hasAgeCategory  Old,0.310345,0.529412,0.529412,99,187,187,?a,0.5,0.571428571,0.555555556,0.444444444,55,44,110,77
?a  hasBiomarker  BRAF_Negative  ?a  hasStage  IV   ,?a  hasAgeCategory  Old,0.034483,1,1,11,11,11,?a,1,0,1,0,11,0,11,0
?a  patientDrug  Vinorelbine  ?a  treatmentType  Concurrent_Chemoradiotherapy   ,?a  hasAgeCategory  Old,0.068966,0.666667,0.666667,22,33,33,?a,1,0.5,0.5,0.5,11,11,11,22
?a  hasStage  IV  ?a  patientDrug  Carboplatin   ,?a  hasAgeCategory  Old,0.137931,1,1,44,44,44,?a,1,1,0.25,0.75,11,33,11,33
?a  patientDrug  Vinorelbine  ?a  treatmentType  Neoadjuvant_Chemotherapy   ,?a  hasAgeCategory  Old,0.034483,1,1,11,11,11,?a,1,0,1,0,11,0,11,0
?a  hasSmokingHabit  CurrentSmoker  ?a  patientDrug  Nivolumab   ,?a  hasAgeCategory  Old,0.068966,0.666667,0.666667,22,33,33,?a,0,0,0,0,0,0,0,0
?a  hasSmokingHabit  CurrentSmoker  ?a  treatmentType  Concurrent_Chemoradiotherapy   ,?a  hasAgeCategory  Old,0.103448,1,1,33,33,33,?a,1,1,0.666666667,0.333333333,22,11,22,11
?a  hasStage  IV  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasAgeCategory  Old,0.103448,0.75,0.75,33,44,44,?a,0.5,1,0.333333333,0.666666667,11,22,22,22
?a  hasStage  IV  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  hasAgeCategory  Old,0.172414,0.833333,0.833333,55,66,66,?a,1,0.8,0.2,0.8,11,44,11,55
?a  hasBiomarker  PDL1_Negative  ?a  hasSmokingHabit  FormerSmoker   ,?a  hasAgeCategory  Old,0.034483,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  hasBiomarker  BRAF_Negative  ?a  patientDrug  Pembrolizumab   ,?a  hasAgeCategory  Old,0.034483,0.5,0.5,11,22,22,?a,0.5,0,1,0,11,0,22,0
?a  patientDrug  Afatinib  ?a  patientDrug  Pembrolizumab   ,?a  hasAgeCategory  Old,0.034483,1,1,11,11,11,?a,1,0,1,0,11,0,11,0
?a  hasSmokingHabit  FormerSmoker  ?a  patientDrug  Nintedanib   ,?a  hasAgeCategory  Old,0.034483,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  hasRelapse_Progression  Progression  ?a  hasSmokingHabit  FormerSmoker   ,?a  hasAgeCategory  Old,0.172414,0.5,0.5,55,110,110,?a,0.25,0.666666667,0.2,0.8,11,44,44,66
?a  hasSmokingHabit  FormerSmoker  ?a  treatmentType  Surgery   ,?a  hasAgeCategory  Old,0.034483,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  hasStage  IV  ?a  patientDrug  Vinorelbine   ,?a  hasAgeCategory  Old,0.034483,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  hasSmokingHabit  FormerSmoker  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  hasAgeCategory  Old,0.137931,0.571429,0.571429,44,77,77,?a,0,0.666666667,0,1,0,44,11,66
?a  hasSmokingHabit  CurrentSmoker  ?a  patientDrug  Vinorelbine   ,?a  hasAgeCategory  Old,0.103448,0.75,0.75,33,44,44,?a,0.666666667,1,0.666666667,0.333333333,22,11,33,11
?a  patientDrug  Vinorelbine  ?a  treatmentType  Surgery   ,?a  hasAgeCategory  Old,0.034483,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  hasBiomarker  BRAF_Negative  ?a  patientDrug  Nivolumab   ,?a  hasAgeCategory  Old,0.034483,1,1,11,11,11,?a,0,0,0,0,0,0,0,0
?a  patientDrug  Pembrolizumab  ?a  treatmentType  Neoadjuvant_Chemotherapy   ,?a  hasAgeCategory  Old,0.034483,1,1,11,11,11,?a,1,0,1,0,11,0,11,0
?a  patientDrug  Carboplatin  ?a  patientDrug  Nivolumab   ,?a  hasAgeCategory  Old,0.137931,1,1,44,44,44,?a,0,0,0,0,0,0,0,0
?a  patientDrug  Nintedanib  ?a  patientDrug  Nivolumab   ,?a  hasAgeCategory  Old,0.034483,1,1,11,11,11,?a,0,0,0,0,0,0,0,0
?a  patientDrug  Daratumumab  ?a  patientDrug  Nivolumab   ,?a  hasAgeCategory  Old,0.034483,1,1,11,11,11,?a,0,0,0,0,0,0,0,0
?a  patientDrug  Nivolumab  ?a  treatmentType  Surgery   ,?a  hasAgeCategory  Old,0.034483,1,1,11,11,11,?a,0,0,0,0,0,0,0,0
?a  patientDrug  Nivolumab  ?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasAgeCategory  Old,0.034483,1,1,11,11,11,?a,0,0,0,0,0,0,0,0
?a  patientDrug  Nivolumab  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasAgeCategory  Old,0.103448,0.75,0.75,33,44,44,?a,0,0,0,0,0,0,0,0
?a  hasStage  IV  ?a  patientDrug  Daratumumab   ,?a  hasAgeCategory  Old,0.034483,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  hasSmokingHabit  CurrentSmoker  ?a  patientDrug  Pembrolizumab   ,?a  hasAgeCategory  Old,0.137931,0.5,0.5,44,88,88,?a,0.666666667,0,1,0,44,0,66,22
?a  patientDrug  Afatinib  ?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasAgeCategory  Old,0.034483,1,1,11,11,11,?a,1,0,1,0,11,0,11,0
?a  hasSmokingHabit  CurrentSmoker  ?a  patientDrug  Durvalumab   ,?a  hasAgeCategory  Old,0.068966,0.666667,0.666667,22,33,33,?a,1,0.5,0.5,0.5,11,11,11,22
?a  hasRelapse_Progression  Relapse  ?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasAgeCategory  Old,0.034483,1,1,11,11,11,?a,1,0,1,0,11,0,11,0
?a  hasRelapse_Progression  No_Progression  ?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasAgeCategory  Old,0.068966,1,1,22,22,22,?a,1,1,0.5,0.5,11,11,11,11
?a  hasStage  IV  ?a  treatmentType  Surgery   ,?a  hasAgeCategory  Old,0.034483,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  hasStage  IV  ?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasAgeCategory  Old,0.034483,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  hasSmokingHabit  FormerSmoker  ?a  patientDrug  Afatinib   ,?a  hasAgeCategory  Old,0.034483,1,1,11,11,11,?a,1,0,1,0,11,0,11,0
?a  hasSmokingHabit  FormerSmoker  ?a  patientDrug  Carboplatin   ,?a  hasAgeCategory  Old,0.103448,0.6,0.6,33,55,55,?a,0,0.75,0,1,0,33,11,44
?a  hasRelapse_Progression  No_Progression  ?a  patientDrug  Carboplatin   ,?a  hasAgeCategory  Old,0.068966,1,1,22,22,22,?a,1,1,0.5,0.5,11,11,11,11
?a  hasSmokingHabit  FormerSmoker  ?a  patientDrug  Daratumumab   ,?a  hasAgeCategory  Old,0.034483,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  hasRelapse_Progression  Relapse  ?a  patientDrug  Pembrolizumab   ,?a  hasAgeCategory  Old,0.034483,1,1,11,11,11,?a,1,0,1,0,11,0,11,0
?a  hasSmokingHabit  FormerSmoker  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasAgeCategory  Old,0.068966,0.5,0.5,22,44,44,?a,0,1,0,1,0,22,22,22
?a  hasBiomarker  BRAF_Negative  ?a  hasGender  Female   ,?a  hasAgeCategory  Old,0.034483,0.5,0.5,11,22,22,?a,0.5,0,1,0,11,0,22,0
?a  hasGender  Female  ?a  patientDrug  Other   ,?a  hasAgeCategory  Old,0.034483,0.333333,0.333333,11,33,33,?a,0.5,0,1,0,11,0,22,11
?a  patientDrug  Carboplatin  ?a  treatmentType  Immunotherapy   ,?a  hasAgeCategory  Old,0.344828,0.625,0.625,110,176,176,?a,0.571428571,0.666666667,0.4,0.6,44,66,77,99
?a  hasGender  Female  ?a  hasRelapse_Progression  No_Progression   ,?a  hasAgeCategory  Old,0.034483,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  hasGender  Female  ?a  hasStage  IIIC   ,?a  hasAgeCategory  Old,0.034483,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  hasGender  Female  ?a  treatmentType  Surgery   ,?a  hasAgeCategory  Old,0.034483,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  treatmentType  Immunotherapy  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasAgeCategory  Old,0.172414,0.555556,0.555556,55,99,99,?a,0.4,0.75,0.4,0.6,22,33,55,44
?a  hasGender  Female  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasAgeCategory  Old,0.137931,0.444444,0.444444,44,99,99,?a,0.4,0.5,0.5,0.5,22,22,55,44
?a  patientDrug  Pembrolizumab  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasAgeCategory  Old,0.068966,0.5,0.5,22,44,44,?a,0.666666667,0,1,0,22,0,33,11
?a  patientDrug  Gefitinib  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasAgeCategory  Old,0.034483,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  hasRelapse_Progression  Progression  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasAgeCategory  Old,0.172414,0.5,0.5,55,110,110,?a,0.4,0.6,0.4,0.6,22,33,55,55
?a  patientDrug  Docetaxel  ?a  patientDrug  Nivolumab   ,?a  hasAgeCategory  Old,0.034483,1,1,11,11,11,?a,0,0,0,0,0,0,0,0
?a  treatmentType  Radiotherapy_To_Bone  ?a  treatmentType  Surgery   ,?a  hasAgeCategory  Old,0.034483,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  hasStage  IV  ?a  patientDrug  Docetaxel   ,?a  hasAgeCategory  Old,0.034483,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  treatmentType  Intravenous_Chemotherapy  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasAgeCategory  Old,0.137931,0.5,0.5,44,88,88,?a,0.5,0.5,0.5,0.5,22,22,44,44
?a  hasStage  IV  ?a  patientDrug  Nintedanib   ,?a  hasAgeCategory  Old,0.034483,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  patientDrug  Nivolumab  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  hasAgeCategory  Old,0.172414,0.833333,0.833333,55,66,66,?a,0,0,0,0,0,0,0,0
?a  hasBiomarker  EGFR_Negative  ?a  patientDrug  Other   ,?a  hasRelapse_Progression  Progression,0.107143,1,1,33,33,33,?a,1,0,1,0,33,0,33,0
?a  hasBiomarker  BRAF_Negative  ?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasAgeCategory  Old,0.034483,1,1,11,11,11,?a,1,0,1,0,11,0,11,0
?a  patientDrug  Gemcitabine  ?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasAgeCategory  Old,0.034483,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  patientDrug  Durvalumab  ?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasAgeCategory  Old,0.068966,1,1,22,22,22,?a,1,1,0.5,0.5,11,11,11,11
?a  hasBiomarker  EGFR_Negative  ?a  hasGender  Female   ,?a  hasRelapse_Progression  Progression,0.214286,1,1,66,66,66,?a,1,0,1,0,66,0,66,0
?a  hasStage  IIIC  ?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasAgeCategory  Old,0.034483,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  patientDrug  Carboplatin  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasAgeCategory  Old,0.172414,0.625,0.625,55,88,88,?a,0.666666667,0.6,0.4,0.6,22,33,33,55
?a  patientDrug  Carboplatin  ?a  treatmentType  Concurrent_Chemoradiotherapy   ,?a  hasAgeCategory  Old,0.068966,0.666667,0.666667,22,33,33,?a,1,0.5,0.5,0.5,11,11,11,22
?a  hasGender  Female  ?a  patientDrug  Durvalumab   ,?a  hasAgeCategory  Old,0.034483,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  patientDrug  Other  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasAgeCategory  Old,0.034483,1,1,11,11,11,?a,1,0,1,0,11,0,11,0
?a  patientDrug  Erlotinib  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasAgeCategory  Old,0.034483,0.5,0.5,11,22,22,?a,0,1,0,1,0,11,11,11
?a  hasSmokingHabit  NonSmoker  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasAgeCategory  Old,0.034483,0.5,0.5,11,22,22,?a,0,0.5,0,1,0,11,0,22
?a  hasRelapse_Progression  Progression  ?a  hasRelapse_Progression  Relapse   ,?a  hasAgeCategory  Old,0.034483,1,1,11,11,11,?a,1,0,1,0,11,0,11,0
?a  patientDrug  Durvalumab  ?a  treatmentType  Concurrent_Chemoradiotherapy   ,?a  hasAgeCategory  Old,0.068966,1,1,22,22,22,?a,1,1,0.5,0.5,11,11,11,11
?a  hasRelapse_Progression  No_Progression  ?a  treatmentType  Concurrent_Chemoradiotherapy   ,?a  hasAgeCategory  Old,0.068966,1,1,22,22,22,?a,1,1,0.5,0.5,11,11,11,11
?a  hasBiomarker  BRAF_Negative  ?a  patientDrug  Carboplatin   ,?a  hasAgeCategory  Old,0.068966,0.666667,0.666667,22,33,33,?a,0.666666667,0,1,0,22,0,33,0
?a  patientDrug  Carboplatin  ?a  patientDrug  Durvalumab   ,?a  hasAgeCategory  Old,0.068966,1,1,22,22,22,?a,1,1,0.5,0.5,11,11,11,11
?a  hasBiomarker  ROS1_Negative  ?a  patientDrug  Other   ,?a  hasRelapse_Progression  Progression,0.107143,1,1,33,33,33,?a,1,0,1,0,33,0,33,0
?a  hasBiomarker  EGFR_Negative  ?a  hasBiomarker  PDL1_Positive   ,?a  hasRelapse_Progression  Progression,0.285714,1,1,88,88,88,?a,1,0,1,0,88,0,88,0
?a  hasBiomarker  BRAF_Negative  ?a  treatmentType  Concurrent_Chemoradiotherapy   ,?a  hasAgeCategory  Old,0.034483,1,1,11,11,11,?a,1,0,1,0,11,0,11,0
?a  hasRelapse_Progression  Relapse  ?a  treatmentType  Concurrent_Chemoradiotherapy   ,?a  hasAgeCategory  Old,0.034483,1,1,11,11,11,?a,1,0,1,0,11,0,11,0
?a  hasStage  IIIC  ?a  treatmentType  Concurrent_Chemoradiotherapy   ,?a  hasAgeCategory  Old,0.034483,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  hasSmokingHabit  NonSmoker  ?a  patientDrug  Vinorelbine   ,?a  hasRelapse_Progression  Progression,0.071429,1,1,22,22,22,?a,0,1,0,1,0,22,0,22
?a  hasBiomarker  EGFR_Positive  ?a  hasGender  Male   ,?a  hasRelapse_Progression  Progression,0.214286,1,1,66,66,66,?a,0,1,0,1,0,66,0,66
?a  hasAgeCategory  Old  ?a  treatmentType  Thoracoscopy   ,?a  hasRelapse_Progression  Progression,0.107143,1,1,33,33,33,?a,1,1,0.666666667,0.333333333,22,11,22,11
?a  hasBiomarker  PDL1_Positive  ?a  hasGender  Male   ,?a  hasRelapse_Progression  Progression,0.142857,1,1,44,44,44,?a,1,0,1,0,44,0,44,0
?a  hasGender  Male  ?a  patientDrug  Gemcitabine   ,?a  hasRelapse_Progression  Progression,0.107143,1,1,33,33,33,?a,1,1,0.333333333,0.666666667,11,22,11,22
?a  patientDrug  Carboplatin  ?a  patientDrug  Other   ,?a  hasRelapse_Progression  Progression,0.107143,1,1,33,33,33,?a,1,1,0.666666667,0.333333333,22,11,22,11
?a  hasBiomarker  EGFR_Positive  ?a  patientDrug  Paclitaxel   ,?a  hasRelapse_Progression  Progression,0.142857,1,1,44,44,44,?a,0,1,0,1,0,44,0,44
?a  hasGender  Female  ?a  patientDrug  Paclitaxel   ,?a  hasRelapse_Progression  Progression,0.107143,1,1,33,33,33,?a,1,1,0.333333333,0.666666667,11,22,11,22
?a  hasGender  Female  ?a  patientDrug  Other   ,?a  hasRelapse_Progression  Progression,0.107143,1,1,33,33,33,?a,1,1,0.666666667,0.333333333,22,11,22,11
?a  patientDrug  Carboplatin  ?a  treatmentType  Thoracoscopy   ,?a  hasRelapse_Progression  Progression,0.107143,1,1,33,33,33,?a,1,1,0.666666667,0.333333333,22,11,22,11
?a  hasBiomarker  BRAF_Negative  ?a  hasBiomarker  PDL1_Positive   ,?a  hasRelapse_Progression  Progression,0.071429,0.666667,1,22,33,22,?a,1,0,1,0,22,0,22,0
?a  hasBiomarker  PDL1_Positive  ?a  patientDrug  Other   ,?a  hasRelapse_Progression  Progression,0.107143,1,1,33,33,33,?a,1,0,1,0,33,0,33,0
?a  hasSmokingHabit  CurrentSmoker  ?a  patientDrug  Gemcitabine   ,?a  hasRelapse_Progression  Progression,0.107143,1,1,33,33,33,?a,1,1,0.333333333,0.666666667,11,22,11,22
?a  hasBiomarker  PDL1_Positive  ?a  patientDrug  Paclitaxel   ,?a  hasRelapse_Progression  Progression,0.107143,1,1,33,33,33,?a,1,0,1,0,33,0,33,0
?a  hasBiomarker  MET_Negative  ?a  patientDrug  Atezolizumab   ,?a  patientDrug  Cisplatin,0.007937,1,1,11,11,11,?a,1,0,1,0,11,0,11,0
?a  hasBiomarker  EGFR_Negative  ?a  patientDrug  Atezolizumab   ,?a  patientDrug  Cisplatin,0.015873,1,1,22,22,22,?a,1,0,1,0,22,0,22,0
?a  hasBiomarker  PDL1_Positive  ?a  patientDrug  Atezolizumab   ,?a  patientDrug  Cisplatin,0.015873,1,1,22,22,22,?a,1,0,1,0,22,0,22,0
?a  hasBiomarker  RET_Negative  ?a  patientDrug  Atezolizumab   ,?a  patientDrug  Cisplatin,0.007937,1,1,11,11,11,?a,1,0,1,0,11,0,11,0
?a  hasBiomarker  ROS1_Negative  ?a  patientDrug  Atezolizumab   ,?a  patientDrug  Cisplatin,0.02381,0.75,0.75,33,44,44,?a,1,0.5,0.666666667,0.333333333,22,11,22,22
?a  patientDrug  Atezolizumab  ?a  patientDrug  Pemetrexed   ,?a  patientDrug  Cisplatin,0.02381,0.5,0.5,33,66,66,?a,1,0.25,0.666666667,0.333333333,22,11,22,44
?a  patientDrug  Atezolizumab  ?a  patientDrug  Docetaxel   ,?a  patientDrug  Cisplatin,0.015873,0.666667,0.666667,22,33,33,?a,1,0,1,0,22,0,22,11
?a  patientDrug  Atezolizumab  ?a  patientDrug  Vinorelbine   ,?a  patientDrug  Cisplatin,0.015873,0.666667,0.666667,22,33,33,?a,1,0.5,0.5,0.5,11,11,11,22
?a  hasSmokingHabit  CurrentSmoker  ?a  patientDrug  Atezolizumab   ,?a  patientDrug  Cisplatin,0.015873,0.666667,0.666667,22,33,33,?a,1,0,1,0,22,0,22,11
?a  hasGender  Female  ?a  patientDrug  Atezolizumab   ,?a  patientDrug  Cisplatin,0.015873,0.5,0.5,22,44,44,?a,1,0.333333333,0.5,0.5,11,11,11,33
?a  patientDrug  Atezolizumab  ?a  treatmentType  Surgery   ,?a  patientDrug  Cisplatin,0.007937,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  hasBiomarker  ALK_Negative  ?a  patientDrug  Nivolumab   ,?a  patientDrug  Cisplatin,0.015873,0.666667,0.666667,22,33,33,?a,0,0,0,0,0,0,0,0
?a  patientDrug  Lorlatinib  ?a  patientDrug  Nivolumab   ,?a  patientDrug  Cisplatin,0.007937,1,1,11,11,11,?a,0,0,0,0,0,0,0,0
?a  patientDrug  Brigatinib  ?a  patientDrug  Nivolumab   ,?a  patientDrug  Cisplatin,0.007937,1,1,11,11,11,?a,0,0,0,0,0,0,0,0
?a  patientDrug  Docetaxel  ?a  patientDrug  Nivolumab   ,?a  patientDrug  Cisplatin,0.007937,1,1,11,11,11,?a,0,0,0,0,0,0,0,0
?a  patientDrug  Nivolumab  ?a  patientDrug  Placebo%20Controlled%20Study   ,?a  patientDrug  Cisplatin,0.007937,1,1,11,11,11,?a,0,0,0,0,0,0,0,0
?a  patientDrug  Nintedanib  ?a  patientDrug  Nivolumab   ,?a  patientDrug  Cisplatin,0.007937,1,1,11,11,11,?a,0,0,0,0,0,0,0,0
?a  patientDrug  Nivolumab  ?a  patientDrug  Vinorelbine   ,?a  patientDrug  Cisplatin,0.007937,1,1,11,11,11,?a,0,0,0,0,0,0,0,0
?a  hasGender  Male  ?a  patientDrug  Nivolumab   ,?a  patientDrug  Cisplatin,0.015873,0.666667,0.666667,22,33,33,?a,0,0,0,0,0,0,0,0
?a  hasAgeCategory  Young  ?a  patientDrug  Nivolumab   ,?a  patientDrug  Cisplatin,0.015873,0.666667,0.666667,22,33,33,?a,0,0,0,0,0,0,0,0
?a  patientDrug  Atezolizumab  ?a  patientDrug  Other   ,?a  patientDrug  Cisplatin,0.007937,0.5,0.5,11,22,22,?a,1,0,1,0,11,0,11,11
?a  hasBiomarker  ALK_Negative  ?a  patientDrug  Atezolizumab   ,?a  patientDrug  Cisplatin,0.02381,0.75,0.75,33,44,44,?a,1,0.5,0.666666667,0.333333333,22,11,22,22
?a  hasBiomarker  ROS1_Negative  ?a  hasStage  IV   ,?a  patientDrug  Cisplatin,0.015873,1,1,22,22,22,?a,1,1,0.5,0.5,11,11,11,11
?a  hasBiomarker  ALK_Negative  ?a  hasStage  IV   ,?a  patientDrug  Cisplatin,0.015873,0.666667,0.666667,22,33,33,?a,0,1,0,1,0,22,11,22
?a  hasStage  IV  ?a  patientDrug  Lorlatinib   ,?a  patientDrug  Cisplatin,0.007937,1,1,11,11,11,?a,1,0,1,0,11,0,11,0
?a  hasStage  IV  ?a  patientDrug  Brigatinib   ,?a  patientDrug  Cisplatin,0.007937,1,1,11,11,11,?a,1,0,1,0,11,0,11,0
?a  hasStage  IV  ?a  patientDrug  Alectinib   ,?a  patientDrug  Cisplatin,0.007937,1,1,11,11,11,?a,1,0,1,0,11,0,11,0
?a  patientDrug  Atezolizumab  ?a  patientDrug  Gemcitabine   ,?a  patientDrug  Cisplatin,0.007937,0.5,0.5,11,22,22,?a,1,0,1,0,11,0,11,11
?a  patientDrug  Atezolizumab  ?a  patientDrug  Nintedanib   ,?a  patientDrug  Cisplatin,0.007937,1,1,11,11,11,?a,1,0,1,0,11,0,11,0
?a  hasStage  IV  ?a  patientDrug  Placebo%20Controlled%20Study   ,?a  patientDrug  Cisplatin,0.007937,1,1,11,11,11,?a,1,0,1,0,11,0,11,0
?a  hasStage  IV  ?a  patientDrug  Durvalumab   ,?a  patientDrug  Cisplatin,0.007937,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  hasAgeCategory  Young  ?a  patientDrug  Atezolizumab   ,?a  patientDrug  Cisplatin,0.015873,0.666667,0.666667,22,33,33,?a,1,0,1,0,22,0,22,11
?a  hasStage  IVB  ?a  patientDrug  Atezolizumab   ,?a  patientDrug  Cisplatin,0.015873,1,1,22,22,22,?a,1,0,1,0,22,0,22,0
?a  hasSmokingHabit  FormerSmoker  ?a  hasStage  IV   ,?a  patientDrug  Cisplatin,0.02381,0.6,0.6,33,55,55,?a,0.5,0.666666667,0.333333333,0.666666667,11,22,22,33
?a  hasGender  Male  ?a  hasStage  IV   ,?a  patientDrug  Cisplatin,0.015873,0.666667,0.666667,22,33,33,?a,0,0.666666667,0,1,0,22,0,33
?a  hasAgeCategory  Young  ?a  hasStage  IV   ,?a  patientDrug  Cisplatin,0.015873,0.666667,0.666667,22,33,33,?a,0.5,1,0.5,0.5,11,11,22,11
?a  patientDrug  Atezolizumab  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  patientDrug  Cisplatin,0.015873,0.666667,0.666667,22,33,33,?a,1,0.5,0.5,0.5,11,11,11,22
?a  hasBiomarker  ROS1_Negative  ?a  patientDrug  Nivolumab   ,?a  patientDrug  Cisplatin,0.015873,1,1,22,22,22,?a,0,0,0,0,0,0,0,0
?a  patientDrug  Nivolumab  ?a  patientDrug  Pemetrexed   ,?a  patientDrug  Cisplatin,0.02381,0.6,0.6,33,55,55,?a,0,0,0,0,0,0,0,0
?a  patientDrug  Daratumumab  ?a  patientDrug  Nivolumab   ,?a  patientDrug  Cisplatin,0.007937,1,1,11,11,11,?a,0,0,0,0,0,0,0,0
?a  patientDrug  Brigatinib  ?a  patientDrug  Pembrolizumab   ,?a  patientDrug  Cisplatin,0.007937,1,1,11,11,11,?a,1,0,1,0,11,0,11,0
?a  patientDrug  Alectinib  ?a  patientDrug  Pembrolizumab   ,?a  patientDrug  Cisplatin,0.007937,1,1,11,11,11,?a,1,0,1,0,11,0,11,0
?a  hasBiomarker  KRAS_Negative  ?a  patientDrug  Atezolizumab   ,?a  patientDrug  Cisplatin,0.007937,1,1,11,11,11,?a,1,0,1,0,11,0,11,0
?a  patientDrug  Pembrolizumab  ?a  patientDrug  Vinorelbine   ,?a  patientDrug  Cisplatin,0.015873,1,1,22,22,22,?a,1,1,0.5,0.5,11,11,11,11
?a  hasRelapse_Progression  Relapse  ?a  patientDrug  Pembrolizumab   ,?a  patientDrug  Cisplatin,0.007937,1,1,11,11,11,?a,1,0,1,0,11,0,11,0
?a  hasStage  IV  ?a  patientDrug  Pemetrexed   ,?a  patientDrug  Cisplatin,0.02381,0.6,0.6,33,55,55,?a,0.5,0.666666667,0.333333333,0.666666667,11,22,22,33
?a  hasStage  IV  ?a  patientDrug  Docetaxel   ,?a  patientDrug  Cisplatin,0.007937,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
?a  hasStage  IV  ?a  patientDrug  Daratumumab   ,?a  patientDrug  Cisplatin,0.007937,1,1,11,11,11,?a,0,1,0,1,0,11,0,11
